Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
3.078948975,-7.101196289,2.030288696,-0.427441359,1.996348381,1.049812555,3.509109259,-9.104598999,0.981236279,-1.538208008,0.890396118,1.064178467,-27.12097168,31.01806641,-11.29455566,22:12:22:517,0.019989014
3.402160645,-7.003036499,2.185913086,0.099565744,2.181919098,1.435268521,3.308385849,-9.201061249,0.751960754,-1.503051758,0.55909729,1.062057495,-26.28173828,32.85980225,-11.60583496,22:12:22:537,0.019989014
3.622421265,-7.465118408,2.667144775,0.719732761,1.861989975,2.366895676,2.912695646,-9.35926342,0.301284164,-1.395462036,0.465362549,1.081222534,-24.00360107,34.02252197,-11.37237549,22:12:22:578,0.019989013
3.584121704,-8.339004517,2.846710205,0.889296532,1.050780296,2.759335756,2.705148458,-9.425755501,0.087709188,-1.345397949,0.453643799,1.123840332,-24.09210205,34.57794189,-9.407043457,22:12:22:616,0.019989013
4.331115723,-10.02452087,2.887405396,2.074949026,-0.518992424,3.209173203,2.263492346,-9.536393166,-0.322812587,-1.245254517,0.404632568,1.233551025,-22.40142822,36.82098389,-9.838867188,22:12:22:642,0.020019531
4.594467163,-10.37646484,2.786849976,2.991948366,-1.258239746,3.415201664,1.838144183,-9.60999012,-0.663096964,-1.15045166,0.420623779,1.228225708,-20.61309814,38.63067627,-7.507324219,22:12:22:679,0.019989014
4.764465332,-11.07557678,2.868255615,3.107136726,-1.451659203,3.65096426,1.658978701,-9.633500099,-0.783488095,-0.763763428,0.219284058,1.020507813,-18.39904785,39.06860352,-8.329772949,22:12:22:697,0.020019531
4.838684082,-12.4737854,2.568984985,3.454302311,-2.792908669,3.483052492,1.382220387,-9.665760994,-0.912640333,-0.280136108,-0.430526733,0.695602417,-19.18792725,39.39056396,-7.000732422,22:12:22:735,0.019989013
5.351043701,-12.08831787,2.652770996,4.049166203,-2.384266853,3.579692125,1.298155308,-9.676305771,-0.924270928,-0.045776367,-0.827865601,0.450592041,-18.58673096,40.04516602,-6.8359375,22:12:22:758,0.019989013
3.960006714,-13.13459778,2.269699097,2.586184978,-3.393863678,3.01365757,1.365664124,-9.682893753,-0.739540875,0.718017578,-0.892852783,-0.403747559,-19.06433105,37.6739502,-6.648254395,22:12:22:799,0.019989014
3.687072754,-14.04199219,1.972824097,2.171501637,-4.286628723,2.518242359,1.503186703,-9.675648689,-0.540961325,1.071685791,-0.803375244,-0.725463867,-19.62432861,39.05334473,-8.540344238,22:12:22:816,0.019989014
3.304000854,-14.10424805,1.359909058,1.358868122,-4.361375809,1.338300586,1.919970989,-9.616841316,0.021329006,1.661849976,-0.534927368,-1.187789917,-20.21636963,35.36682129,-8.020019531,22:12:22:858,0.019989014
2.997543335,-12.79940796,0.972045898,0.782572746,-3.105381966,0.585633397,2.182761431,-9.553058624,0.380793482,1.921768188,-0.286712646,-1.362487793,-21.68884277,37.20550537,-10.2722168,22:12:22:898,0.019989014
2.331954956,-9.576812744,0.215484619,-0.467255116,-0.100738525,-1.020493984,2.756700993,-9.332169533,1.217208862,2.359588623,-0.117340088,-1.556365967,-26.12915039,33.03222656,-13.28125,22:12:22:920,0.020019531
1.790863037,-8.667007446,0.47644043,-1.671893358,0.407989502,-1.660660505,3.414404392,-8.948278427,2.10725975,2.702606201,-0.570083618,-1.807769775,-25.90484619,32.49053955,-14.32647705,22:12:22:959,0.019989014
1.656784058,-8.875305176,0.675170898,-2.174905062,-0.07395649,-1.90188098,3.780606985,-8.684013367,2.542695999,2.796356201,-0.688323975,-1.943054199,-29.05883789,27.47344971,-16.64276123,22:12:22:979,0.019989014
2.027893066,-9.179367065,1.723831177,-2.55939579,-1.041416168,-1.637938738,4.531085491,-8.038245201,3.320581436,2.619522095,-0.618011475,-2.087936401,-30.02471924,25.76141357,-16.79992676,22:12:23:017,0.019989014
2.284072876,-9.595962524,2.214630127,-2.643074512,-1.811119556,-1.479418039,4.867877007,-7.691196442,3.649611235,2.386230469,-0.420944214,-2.033615112,-32.94372559,20.33081055,-16.80755615,22:12:23:037,0.020019532
2.736572266,-9.074020386,2.942474365,-2.690505505,-1.976969242,-1.36888504,5.364991665,-7.015860081,4.262037277,1.883422852,0.399307251,-1.797119141,-33.12225342,16.70684814,-17.64373779,22:12:23:077,0.019989013
2.853881836,-9.284713745,2.947265625,-2.711652279,-2.507509708,-1.683479786,5.503532887,-6.701704502,4.579157829,1.67250061,0.871231079,-1.661834717,-33.11309814,13.68560791,-18.94378662,22:12:23:100,0.019989014
3.179504395,-8.779541016,3.251327515,-2.532573223,-2.590028286,-1.968879223,5.653072357,-6.125576019,5.166282654,1.2996521,1.105575562,-1.472213745,-34.37652588,11.65924072,-21.8536377,22:12:23:138,0.019989014
3.236953735,-8.312667847,3.390182495,-2.528561115,-2.400184631,-2.075305939,5.709397316,-5.854935646,5.412291527,1.140930176,1.025680542,-1.455169678,-32.6171875,8.427429199,-21.69189453,22:12:23:158,0.019989014
3.612854004,-7.572860718,3.646362305,-2.206018448,-1.930800915,-2.031867981,5.766228676,-5.591015816,5.626858711,0.991790771,0.933013916,-1.45942688,-34.24224854,6.922912598,-23.10638428,22:12:23:198,0.019989014
3.962402344,-6.74446106,4.098876953,-1.895797253,-1.590961456,-1.96427393,5.813979626,-5.114598751,6.017383575,0.680740356,1.086410522,-1.347579956,-34.00726318,3.358459473,-24.99237061,22:12:23:221,0.020019531
5.310333252,-7.587219238,5.243301392,-0.495191097,-2.770303726,-1.134188652,5.763463974,-4.782017231,6.331285954,0.217346191,1.050186157,-1.124938965,-31.76574707,5.674743652,-25.70648193,22:12:23:259,0.019989014
5.96875,-8.355758667,6.37097168,0.17347002,-3.633213997,-0.099514008,5.748120785,-4.684114933,6.417831898,-0.093704224,0.88293457,-1.075927734,-33.16955566,2.038574219,-27.51617432,22:12:23:281,0.019989014
5.825088501,-6.33265686,5.99029541,0.220441818,-1.712160587,-0.735516071,5.552150726,-4.577218533,6.662813663,-0.386657715,1.720245361,-0.921478271,-31.83135986,1.780700684,-27.75115967,22:12:23:318,0.019989014
5.260055542,-5.042190552,4.960784912,-0.126400471,-0.465480328,-1.961311817,5.339327335,-4.536666393,6.861532211,-0.309951782,2.134628296,-0.803222656,-27.00653076,0.971984863,-27.96020508,22:12:23:340,0.019989013
5.092468262,-4.266464233,4.774032593,-0.079514503,0.258489609,-2.330096245,5.131513119,-4.489546776,7.048541069,-0.214080811,2.017456055,-0.761688232,-26.25579834,0.210571289,-29.12750244,22:12:23:379,0.019989013
5.197814941,-5.181045532,6.251266479,0.235039711,-0.773304462,-1.060984612,4.928154469,-4.376992226,7.261240005,-0.133117676,0.935134888,-0.8021698,-26.67236328,-0.775146484,-31.29272461,22:12:23:396,0.019989014
6.026199341,-5.425262451,6.54574585,1.06342411,-1.098303795,-0.819980145,4.926152706,-4.29502821,7.311371326,-0.144836426,0.355636597,-0.625335693,-26.93328857,0.924682617,-31.65130615,22:12:23:436,0.019989014
6.0597229,-4.788406372,6.277603149,1.105540752,-0.491364002,-1.110959053,4.917781353,-4.265469551,7.334274769,-0.166152954,0.431274414,-0.574188232,-25.66833496,1.383972168,-32.97729492,22:12:23:458,0.020019531
5.384567261,-3.263290405,5.9112854,0.515451908,0.969074726,-1.556650162,4.838500023,-4.205753803,7.4209795,-0.176803589,0.675216675,-0.556091309,-25.19683838,-1.008605957,-32.43865967,22:12:23:499,0.019989013
5.027816772,-2.801208496,5.95916748,0.208863735,1.397776604,-1.54893589,4.792735577,-4.176140785,7.467256069,-0.149108887,0.625152588,-0.502822876,-24.63378906,-0.788879395,-32.72247314,22:12:23:516,0.019989014
4.898544312,-2.734176636,6.351821899,0.098722935,1.403065205,-1.181958199,4.781398773,-4.121362209,7.504864693,-0.077728271,0.142578125,-0.360076904,-23.8571167,-1.258850098,-33.89587402,22:12:23:558,0.019989014
4.965576172,-2.952056885,6.631942749,0.126460075,1.160157204,-0.883172989,4.823245049,-4.098727226,7.490468502,-0.056427002,-0.099227905,-0.287643433,-22.69439697,-0.384521484,-33.86077881,22:12:23:577,0.019989014
